threshold,n_trades,total_return,ann_return,sharpe,sortino,max_dd,win_rate,profit_factor,avg_pnl
0.05,179,0.4402384544172744,0.04693823849915013,-2.403462163213795,-4.339346721793271,-1.2768389999079077,34.07821229050279,1.059500630861476,24.594327062416927
0.1,179,0.4402384544172744,0.04693823849915013,-2.403462163213795,-4.339346721793271,-1.2768389999079077,34.07821229050279,1.059500630861476,24.594327062416927
0.15,177,0.49103616187546884,0.05234246115590757,-2.396229249881832,-4.327779723511779,-1.2768389999079353,33.89830508474576,1.0669918366714901,27.742156038164907
0.2,175,0.5248783429392168,0.05594147981426989,-2.3914919092581908,-4.325675006470447,-1.2768389999079037,33.714285714285715,1.0723167465324086,29.993048167955635
0.25,172,0.6398599200095445,0.06816136071425838,-2.3737130512570594,-4.317634375814875,-1.276838999907882,34.30232558139535,1.0894862227974385,37.20115814008662
0.3,172,0.6398599200095445,0.06816136071425838,-2.3737130512570594,-4.317634375814875,-1.276838999907882,34.30232558139535,1.0894862227974385,37.20115814008662
0.4,170,0.7330577538930738,0.07805698731138122,-2.3570761298278877,-4.297850899069953,-1.2768389999078649,34.11764705882353,1.1038987835862566,43.12104434664573
0.5,166,0.8064884601885591,0.08584800763085099,-2.355981720561108,-4.338582812390399,-1.2768389999079568,34.33734939759036,1.1170126215427996,48.583642180037494
0.6,157,0.8713049124322803,0.09272084225149246,-2.4182343368218597,-4.40128176336408,-1.1506894746001852,35.03184713375796,1.1326377512926291,55.497128180398
0.75,149,0.2239063246922468,0.023895912307314582,-2.6572946349768967,-4.680624520352219,-1.6575781256009998,33.557046979865774,1.0347296123288738,15.027270113578295
1.0,139,0.2363507002041132,0.025222611885800106,-2.6969569435135354,-4.496263606754131,-1.5412187461032112,33.81294964028777,1.0393393701532239,17.003647496703234
1.25,129,0.6971379361933705,0.07424403595461815,-2.6174356950015496,-4.431592585089281,-1.423631566705309,35.65891472868217,1.1265516791792174,54.04170048010352
1.5,125,0.8563482211194184,0.0911352545458044,-2.6025594337694256,-4.403434660482264,-1.4666430137947017,36.0,1.1611833105709441,68.5078576895458
