date,nav,gross_exp,n_pos
2021-01-21 09:30:00,1000000.0,0.0,0
2021-01-22 09:30:00,1000000.0,0.0,0
2021-01-25 09:30:00,1000000.0,0.0,0
2021-01-26 09:30:00,1000000.0,0.0,0
2021-01-27 09:30:00,999760.0224989741,99989.20053998704,5
2021-01-28 09:30:00,1002666.633262378,99973.60318576134,5
2021-01-29 09:30:00,1002666.633262378,99973.60318576134,5
2021-02-01 09:30:00,1002686.5696144996,140207.750820061,7
2021-02-02 09:30:00,1000334.9706381839,39992.80046798704,2
2021-02-03 09:30:00,999956.981929242,80005.59909253202,4
2021-02-04 09:30:00,1000770.9466013629,39992.80046798704,2
2021-02-05 09:30:00,1000770.9466013629,39992.80046798704,2
2021-02-08 09:30:00,1000770.9466013629,39992.80046798704,2
2021-02-09 09:30:00,1000770.9466013629,39992.80046798704,2
2021-02-10 09:30:00,1001577.7057310713,0.0,0
2021-02-11 09:30:00,1001577.7057310713,0.0,0
2021-02-12 09:30:00,1001577.7057310713,0.0,0
2021-02-16 09:30:00,1001577.7057310713,0.0,0
2021-02-17 09:30:00,1001577.7057310713,0.0,0
2021-02-18 09:30:00,1001577.7057310713,0.0,0
2021-02-22 09:30:00,1001577.7057310713,0.0,0
2021-02-23 09:30:00,1001577.7057310713,0.0,0
2021-02-24 09:30:00,1001577.7057310713,0.0,0
2021-02-25 09:30:00,1001577.7057310713,0.0,0
2021-02-26 09:30:00,1001487.5655403954,40061.90633599598,2
2021-03-01 09:30:00,1001262.1885630961,20031.554114621427,1
2021-03-02 09:30:00,1000489.5581584327,0.0,0
2021-03-03 09:30:00,1000489.5581584327,0.0,0
2021-03-04 09:30:00,1000489.5581584327,0.0,0
2021-03-05 09:30:00,1000489.5581584327,0.0,0
2021-03-08 09:30:00,1000489.5581584327,0.0,0
2021-03-09 09:30:00,1000489.5581584327,0.0,0
2021-03-10 09:30:00,1000489.5581584327,0.0,0
2021-03-11 09:30:00,1000489.5581584327,0.0,0
2021-04-15 09:30:00,1000489.5581584327,0.0,0
2021-04-16 09:30:00,1000489.5581584327,0.0,0
2021-04-19 09:30:00,1000489.5581584327,0.0,0
2021-04-20 09:30:00,1000489.5581584327,0.0,0
2021-04-21 09:30:00,1000039.111353551,40018.38173886752,2
2021-04-22 09:30:00,1000692.8260251641,0.0,0
2021-04-23 09:30:00,1000692.8260251641,0.0,0
2021-04-26 09:30:00,1000692.8260251641,0.0,0
2021-04-27 09:30:00,1000692.8260251641,0.0,0
2021-04-28 09:30:00,1000542.7293061407,60037.96713938604,3
2021-04-29 09:30:00,999981.7711493633,60037.96713938604,3
2021-04-30 09:30:00,999801.7852301435,120033.27354597038,6
2021-05-03 09:30:00,999801.7852301435,120033.27354597038,6
2021-05-04 09:30:00,1000297.2722884921,100036.0380072352,5
2021-05-05 09:30:00,1002182.0831545737,60037.96713938604,3
2021-05-06 09:30:00,1002182.0831545737,60037.96713938604,3
2021-05-07 09:30:00,1002037.3392153635,60037.96713938604,3
2021-05-10 09:30:00,1002037.3392153635,60037.96713938604,3
2021-05-11 09:30:00,1001947.1576585013,100118.25826319352,5
2021-05-12 09:30:00,997107.9272319247,40080.29112380748,2
2021-05-13 09:30:00,997285.221936846,20039.54433950021,1
