event_date,primary,dependent,event_type,beta,r2,revenue_pct,expected_a,expected_b,actual_return,score_a,score_b,direction,is_liquid,is_htb,skipped,skip_reason,score_h1,score_h2,score_h3,score_h4,score_h7,score_h14,score_h21,score_h35,score_h49,score_h70
2021-01-26,LMT,AIRI,Earnings,1.0,0.0,0.302,-0.02727700473188341,-0.00823765542902879,0.03257912811426822,-2.1943807039849683,-4.95490299332771,long,True,True,True,conflicting multi-primary signal,-7.788220755255484,-4.95490299332771,-5.945442332684637,-5.982861256146078,-4.9086471285321664,1.1696709026655245,-4.226758145782815,-2.009556819475485,-4.977845052560401,-21.252474533986238
2021-01-26,LMT,CVU,Earnings,1.0,0.0,0.24,-0.02727700473188341,-0.006546481135652018,-0.014362454343957892,-0.4734592567940578,1.1939197633580922,short,True,True,True,conflicting multi-primary signal,0.18119193254062263,1.1939197633580922,3.388235323770666,1.0854054042480037,1.2774226098070158,-1.7630617510646285,0.5010881462720087,4.622781970895683,1.0710994866152679,-14.662866635118144
2021-01-26,LMT,EMKR,Earnings,1.0,0.0,0.2391,-0.02727700473188341,-0.006521931831393323,-0.021555823163540225,-0.20974376125894195,2.3051285601884484,short,True,True,False,,1.5894900863055605,2.3051285601884484,2.1948827353356557,2.264329204005726,-1.327727332323007,3.16407239322942,-0.33959611329760186,-10.436326366133816,-6.025141853692038,-26.509813316130508
2021-01-26,LMT,SIF,Earnings,1.0,0.0,0.1108,-0.02727700473188341,-0.0030222921242926814,-0.005256815882569195,-0.807280310494479,0.7393473782086727,short,False,True,False,,0.0923689988051048,0.7393473782086727,-1.4634620932648497,-3.2906666266539646,-4.900987888774615,17.07687512182842,18.46864085461847,55.471792300673954,8.29343381788128,37.11469135910719
2021-01-26,LMT,TTMI,Earnings,1.0,0.0,0.1105,-0.02727700473188341,-0.0030141090228731167,-0.011425115785126547,-0.5811447812020205,2.7905449664975515,short,True,False,False,,4.038137091709821,2.7905449664975515,2.1456441456944297,1.7415306503108918,-2.101927409871796,-2.823839179395416,3.995287147452061,0.7085772209909602,16.14174691015334,16.424732208204333
2021-01-26,RTX,AIRI,Earnings,1.0,0.0,0.382,0.03108252947481247,0.011873526259378365,0.03257912811426822,-0.04814919071076587,-1.7438460489810623,short,True,True,True,conflicting multi-primary signal,-3.7095548817107575,-1.7438460489810623,-2.4310658005755132,-2.4570264285529926,-1.7117544977911656,2.5052816577073194,-1.238671240296083,0.29958623637215326,-1.7597628688594038,-13.050830659037386
2021-01-26,RTX,CVU,Earnings,1.0,0.0,0.36,0.03108252947481247,0.011189710610932489,-0.014362454343957892,1.462074824238369,2.2835411784399136,long,True,True,True,conflicting multi-primary signal,1.6910501060149528,2.2835411784399136,3.567313915857606,2.220055425361768,2.3323940780418964,0.5535747498419085,1.8782036975039915,4.2895789160436,2.2116858237547885,-6.993388014730485
2021-01-26,RTX,MTX,Earnings,1.0,0.0,0.2475,0.03108252947481247,0.0076929260450160864,-0.01327632870371038,1.4271315407090264,2.7257840028647538,long,True,False,False,,2.573136486499905,2.7257840028647538,2.6955010789424816,1.7945050555553053,1.469990595453464,2.943867214557647,3.532797941763133,0.23068000126887345,6.630136971167852,-0.027496028042901015
2021-01-26,RTX,MRCY,Earnings,1.0,0.0,0.19,0.03108252947481247,0.0059056806002143695,-0.02247741482193394,1.7231526906504944,4.806066792897339,long,True,False,False,,4.663700911852414,4.806066792897339,5.005459396753319,5.604682437001265,6.334981179128794,10.309986400447182,8.589391383825134,13.90714048896353,20.873919807441865,17.01240847183897
2021-01-27,NOC,FEIM,Earnings,1.0,0.0,0.3959,0.012682215469263914,0.005020889104281583,0.01297040737129103,-0.022724097593639386,-1.5832889557808527,short,False,True,False,,-3.490638110467644,-1.5832889557808527,-2.1425576374918616,-5.193845010641942,-8.192624335550015,5.145153187503792,-2.224800758608837,1.7731039675106308,5.762090549939201,6.13724712786735
