extra_slippage_bps,total_net_pnl,sharpe
0,12140.010423727901,-0.22328851596845148
10,4332.13561462202,-0.6852128820425737
25,-7379.676599036803,-1.377783194999192
50,-26899.36362180151,-2.5311818007412845
100,-65938.73766733092,-4.8342610051376536
