bar_start,open,high,low,close,volume
2021-01-28 09:30:00,45.92,47.04,45.7,46.0301,5593272
2021-01-28 10:30:00,46.035,46.345,45.69,45.84,3063603
2021-01-28 11:30:00,45.85,46.278801,45.7416,46.09,2186654
2021-01-28 12:30:00,46.08,46.095,45.77,45.9177,1709374
2021-01-28 13:30:00,45.92,46.25,45.87,46.13,1793413
2021-01-28 14:30:00,46.125,46.29,45.95,46.02,4826905
2021-01-28 15:30:00,46.0469,46.25,46.01,46.06,3093130
2021-01-29 09:30:00,45.57,46.04,45.35,45.799,8753898
2021-01-29 10:30:00,45.8,45.915,45.2,45.2099,3452188
2021-01-29 11:30:00,45.2848,45.87,44.86,44.88,3104702
2021-01-29 12:30:00,44.9132,45.0,44.51,44.85,3634677
2021-01-29 13:30:00,44.7395,45.69,44.7,44.7901,2534542
2021-01-29 14:30:00,44.828,45.98,44.6,45.025,3176037
2021-01-29 15:30:00,45.0849,45.54,44.73,44.83,3877548
2021-02-01 09:30:00,45.53,45.63,44.35,44.47,5305057
2021-02-01 10:30:00,44.5202,44.69,44.28,44.6299,3104296
2021-02-01 11:30:00,44.62,44.7,44.32,44.5123,3066120
2021-02-01 12:30:00,44.51,44.79,44.4288,44.75,1959995
2021-02-01 13:30:00,44.7211,45.07,44.6999,45.04,1969508
2021-02-01 14:30:00,44.9972,45.24,44.87,44.885,2579264
2021-02-01 15:30:00,44.9435,44.98,44.76,44.93,3195076
2021-02-02 09:30:00,45.81,46.69,45.2805,45.87,9326770
2021-02-02 10:30:00,45.87,46.9861,45.76,46.7877,5655102
2021-02-02 11:30:00,46.78,46.7937,45.61,46.33,3148407
2021-02-02 12:30:00,46.335,46.38,45.85,45.885,2447934
2021-02-02 13:30:00,45.8884,45.9,45.6,45.6301,2301719
2021-02-02 14:30:00,45.635,45.96,45.6,45.7901,2425369
2021-02-02 15:30:00,45.795,45.92,45.6,45.63,2725383
2021-02-03 09:30:00,45.7,46.99,45.42,46.865,6574863
2021-02-03 10:30:00,46.8761,47.23,46.565,47.14,4915760
2021-02-03 11:30:00,47.15,47.67,46.81,47.1777,3811849
2021-02-03 12:30:00,47.17,47.34,46.95,47.02,2540654
2021-02-03 13:30:00,47.0299,47.41,45.63,47.3684,1712518
2021-02-03 14:30:00,47.36,47.57,47.27,47.31,2670918
2021-02-03 15:30:00,47.3301,47.51,47.25,47.42,2980402
2021-02-04 09:30:00,47.87,48.15,47.27,47.29,6556920
2021-02-04 10:30:00,47.28,47.93,47.25,47.85,3240953
2021-02-04 11:30:00,47.8446,47.87,47.67,47.815,2291089
2021-02-04 12:30:00,47.7523,48.47,47.7523,48.0184,2375232
2021-02-04 13:30:00,48.0611,48.21,47.9823,48.1582,2490784
2021-02-04 14:30:00,48.1474,48.38,48.01,48.09,3714886
2021-02-04 15:30:00,48.0547,48.35,47.97,48.32,2586234
2021-02-05 09:30:00,49.2,49.8,49.04,49.74,9607482
2021-02-05 10:30:00,49.735,50.07,49.65,49.71,6202802
2021-02-05 11:30:00,49.71,49.94,49.62,49.9077,2805281
2021-02-05 12:30:00,49.9,50.0199,48.33,49.875,2364800
2021-02-05 13:30:00,49.9379,50.09,49.809592,50.025,2866192
2021-02-05 14:30:00,49.9794,50.12,49.948776,49.965,2712547
2021-02-05 15:30:00,49.9691,50.08,49.83,49.95,4224585
2021-02-08 09:30:00,50.95,51.94,50.41,51.935,10882170
2021-02-08 10:30:00,51.931,52.06,51.69,51.8199,6349297
2021-02-08 11:30:00,51.9095,52.04,51.515,52.005,3807933
2021-02-08 12:30:00,51.9697,52.09,51.78,51.95,2637738
2021-02-08 13:30:00,51.9512,52.16,51.93,52.155,2684533
2021-02-08 14:30:00,52.0921,52.36,52.0921,52.2999,3330265
2021-02-08 15:30:00,52.3072,52.35,52.01,52.11,5412094
2021-02-09 09:30:00,50.65,51.44,49.76,50.46,9320810
2021-02-09 10:30:00,50.3723,51.12,49.9684,50.21,3370586
2021-02-09 11:30:00,50.1108,51.72,48.45,50.312,3067329
2021-02-09 12:30:00,50.2734,52.1,50.2734,50.6,2103701
2021-02-09 13:30:00,50.6305,50.96,50.56,50.86,3818932
2021-02-09 14:30:00,50.8768,50.8946,50.4875,50.6288,2828294
2021-02-09 15:30:00,50.6719,51.29,50.55,50.62,2611703
2021-02-10 09:30:00,50.63,51.54,50.6,50.925,6179129
2021-02-10 10:30:00,50.8876,51.17,50.39,50.9,4050433
2021-02-10 11:30:00,51.0264,51.18,50.8,51.0116,2001329
2021-02-10 12:30:00,51.01,51.08,50.855,50.87,1762427
2021-02-10 13:30:00,50.875,51.2744,50.79,50.8558,1611028
2021-02-10 14:30:00,50.8468,51.15,50.825,50.97,2418971
2021-02-10 15:30:00,50.9673,51.19,50.7801,51.15,3524114
2021-02-11 09:30:00,50.89,50.93,49.96,50.0633,5476698
2021-02-11 10:30:00,50.0983,50.0983,49.33,49.5277,4445211
2021-02-11 11:30:00,49.52,49.88,48.78,48.7977,3475506
2021-02-11 12:30:00,48.8,49.35,48.8,49.295,2732541
2021-02-11 13:30:00,49.2814,50.9884,49.22,49.32,2121893
2021-02-11 14:30:00,49.3537,49.67,49.22,49.56,2842075
2021-02-11 15:30:00,49.5731,51.05,49.5,49.84,3685427
2021-02-12 09:30:00,49.49,50.49,49.32,50.31,4943266
2021-02-12 10:30:00,50.3741,50.44,47.63,50.1223,2334094
2021-02-12 11:30:00,50.1875,50.715,50.125,50.585,2526603
2021-02-12 12:30:00,50.5556,50.605,48.08,50.3284,1881004
2021-02-12 13:30:00,50.3087,50.44,50.22,50.295,1486726
2021-02-12 14:30:00,50.2783,50.3984,50.2323,50.29,1427802
2021-02-12 15:30:00,50.2804,50.64,50.25,50.52,2604725
2021-02-16 09:30:00,51.99,52.53,50.52,51.99,9465485
2021-02-16 10:30:00,51.985,52.2,51.76,52.0764,2922769
2021-02-16 11:30:00,52.07,52.1984,51.62,51.98,2737328
2021-02-16 12:30:00,51.9362,52.15,51.6705,52.025,1852453
2021-02-16 13:30:00,51.994,52.23,50.56,52.225,2429932
2021-02-16 14:30:00,52.1863,52.26,50.87,52.08,2294763
2021-02-16 15:30:00,52.0773,52.2,52.0,52.03,3080209
2021-04-27 09:30:00,56.07,56.34,55.89,56.1428,5193314
2021-04-27 10:30:00,56.15,56.21,56.035,56.0499,2010079
2021-04-27 11:30:00,56.0771,56.27,56.03,56.175,1609878
2021-04-27 12:30:00,56.1826,56.2,55.83,55.85,1833484
2021-04-27 13:30:00,55.8765,61.71,55.81,56.02,1815669
2021-04-27 14:30:00,55.9315,56.56,55.9315,56.54,2406301
2021-04-27 15:30:00,56.5086,56.63,56.38,56.38,2063520
2021-04-28 09:30:00,56.95,58.04,56.75,57.99,6732592
2021-04-28 10:30:00,58.0,58.46,57.565652,58.3074,3412099
2021-04-28 11:30:00,58.3,58.385,58.095,58.105,2190936
2021-04-28 12:30:00,58.1099,58.22,57.98,58.085,1719169
2021-04-28 13:30:00,58.0829,58.17,57.93,58.14,1728523
2021-04-28 14:30:00,58.1407,58.16,57.9,58.101,3559913
2021-04-28 15:30:00,58.105,58.3,58.03,58.11,3470078
2021-04-29 09:30:00,58.92,59.48,58.8,58.84,7296260
2021-04-29 10:30:00,58.84,58.86,58.415,58.55,3603263
2021-04-29 11:30:00,58.55,58.615,58.15,58.3,2487492
2021-04-29 12:30:00,58.3295,58.74,58.26,58.6,2212786
2021-04-29 13:30:00,58.5637,58.71,55.28,58.6989,1663569
2021-04-29 14:30:00,58.6343,58.975,58.5434,58.55,2784209
2021-04-29 15:30:00,58.55,58.95,58.545,58.94,3549109
2021-04-30 09:30:00,58.47,58.89,57.47,58.145,7811115
2021-04-30 10:30:00,58.1499,58.19,57.75,57.795,3318560
2021-04-30 11:30:00,57.824,57.97,57.74,57.82,2105786
2021-04-30 12:30:00,57.8711,61.4129,57.65,57.79,1969426
2021-04-30 13:30:00,57.7344,57.86,57.57,57.68,1831488
2021-04-30 14:30:00,57.6857,57.71,57.38,57.52,1847993
2021-04-30 15:30:00,57.4732,57.56,57.16,57.27,4029911
